Date,Time,Easting,Northing
2024-09-19,22:18:08.981,471951.2530,6430879.0481
2024-09-19,22:18:10.815,471955.3227,6430878.9427
2024-09-19,22:18:12.647,471959.3455,6430878.8087
2024-09-19,22:18:14.482,471963.5760,6430878.7242
2024-09-19,22:18:16.329,471967.6887,6430878.3736
2024-09-19,22:18:18.169,471971.7875,6430878.1157
2024-09-19,22:18:20.007,471975.7877,6430877.7814
2024-09-19,22:18:21.857,471979.9769,6430878.0209
2024-09-19,22:18:23.690,471984.0799,6430877.7391
2024-09-19,22:18:28.551,471994.8126,6430879.1028
2024-09-19,22:18:30.394,471999.0150,6430877.4178
2024-09-19,22:18:32.227,472002.9262,6430879.0341
2024-09-19,22:18:34.069,472007.1090,6430877.3133
2024-09-19,22:18:35.913,472011.2109,6430876.8164
2024-09-19,22:18:37.750,472015.3101,6430876.6717
2024-09-19,22:18:39.587,472082.0571,6430879.3437
2024-09-19,22:18:43.276,472027.6142,6430876.3322
2024-09-19,22:18:45.100,472031.8429,6430875.8578
2024-09-19,22:18:46.951,472035.8726,6430876.1346
2024-09-19,22:18:48.789,472040.0863,6430875.8042
2024-09-19,22:18:50.636,472044.2000,6430875.7616
2024-09-19,22:18:52.475,472048.3047,6430875.2270
2024-09-19,22:18:54.323,472052.3342,6430875.4175
2024-09-19,22:18:56.154,472056.4024,6430875.1800
2024-09-19,22:18:59.833,472064.6368,6430874.7413
2024-09-19,22:19:01.684,472068.7964,6430874.6209
2024-09-19,22:19:03.547,472072.9608,6430874.9195
2024-09-19,22:19:05.398,472077.2166,6430873.9475
2024-09-19,22:19:07.249,472081.2181,6430873.9481
2024-09-19,22:19:09.096,472085.3124,6430874.1951
2024-09-19,22:19:10.930,472089.4210,6430874.3350
2024-09-19,22:19:12.764,472093.5340,6430874.0880
2024-09-19,22:19:14.612,472097.6612,6430873.8291
2024-09-19,22:19:16.466,472165.3042,6430876.5540
2024-09-19,22:19:18.328,472105.9830,6430873.1810
2024-09-19,22:19:20.149,472110.0513,6430873.2350
2024-09-19,22:19:21.985,472114.1627,6430873.3490
2024-09-19,22:19:23.833,472118.2815,6430873.6202
2024-09-19,22:19:25.673,472122.4006,6430872.9609
2024-09-19,22:19:27.506,472126.5272,6430872.9168
2024-09-19,22:19:29.358,472130.7504,6430872.6542
2024-09-19,22:19:31.196,472134.7718,6430872.4679
2024-09-19,22:19:33.034,472138.8983,6430873.1598
2024-09-19,22:19:34.873,472142.9926,6430872.1373
2024-09-19,22:19:36.710,472147.1070,6430872.1005
2024-09-19,22:19:38.559,472151.2062,6430871.9926
2024-09-19,22:19:40.409,472155.3742,6430871.8685
2024-09-19,22:19:42.246,472159.4911,6430871.4743
2024-09-19,22:19:44.091,472163.6258,6430871.6422
2024-09-19,22:19:45.941,472167.8144,6430871.3921
2024-09-19,22:19:47.769,472171.9026,6430871.1747
2024-09-19,22:19:49.606,472176.0461,6430871.7797
2024-09-19,22:19:51.457,472180.1604,6430871.0620
2024-09-19,22:19:53.286,472184.2678,6430871.0085
2024-09-19,22:19:55.126,472188.3930,6430870.0393
2024-09-19,22:19:56.960,472192.4877,6430870.8126
2024-09-19,22:19:58.790,472196.5472,6430870.4525
2024-09-19,22:20:00.650,472200.6952,6430870.3493
2024-09-19,22:20:02.490,472204.8339,6430870.5075
2024-09-19,22:20:04.329,472208.9508,6430870.0267
2024-09-19,22:20:06.168,472213.1016,6430869.7886
2024-09-19,22:20:08.002,472217.2412,6430869.6525
2024-09-19,22:20:09.847,472221.3815,6430869.7184
2024-09-19,22:20:11.686,472225.4894,6430869.5923
2024-09-19,22:20:13.520,472229.5954,6430868.9058
2024-09-19,22:20:15.357,472233.6835,6430869.4707
2024-09-19,22:20:17.204,472237.8480,6430868.8358
2024-09-19,22:20:19.055,472241.9846,6430868.5004
2024-09-19,22:20:20.896,472246.1224,6430868.6800
2024-09-19,22:20:22.739,472250.2635,6430868.6663
2024-09-19,22:20:24.569,472254.3840,6430868.8312
2024-09-19,22:20:26.405,472258.5017,6430868.4426
2024-09-19,22:20:28.264,472262.6601,6430868.5774
2024-09-19,22:20:30.096,472266.7522,6430867.8066
2024-09-19,22:20:31.926,472270.8784,6430867.9711
2024-09-19,22:20:33.778,472275.0164,6430867.3277
2024-09-19,22:20:35.630,472279.1989,6430866.9783
2024-09-19,22:20:37.482,472283.3767,6430867.4064
2024-09-19,22:20:39.317,472287.4574,6430866.9081
2024-09-19,22:20:41.149,472291.5869,6430866.9240
2024-09-19,22:20:43.012,472295.7510,6430866.9175
2024-09-19,22:20:44.859,472299.8753,6430866.6681
2024-09-19,22:20:46.695,472304.0051,6430866.5017
